,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
133,Doja Cat,Juicy,Juicy,single,64,hiphop,0.786,0.658,0,-2.61,0.0661,0.0856,0,0.0689,0.458,170.037,4,C,major,C major
134,Gunna,Speed It Up,Drip or Drown 2,album,57,hiphop,0.912,0.587,7,-7.395,0.0582,0.0394,0.01,0.111,0.435,143.027,4,G,major,G major
135,Future,100 Shooters (feat. Meek Mill),100 Shooters (feat. Meek Mill),single,57,hiphop,0.645,0.675,1,-5.282,0.202,0.0104,0,0.273,0.171,120.672,5,C#,minor,C# minor
136,Young M.A,BIG,BIG,single,56,hiphop,0.86,0.507,0,-5.776,0.369,0.0412,6.55E-06,0.13,0.15,85.005,4,C,minor,C minor
137,Freddie Gibbs,Palmolive (feat. Pusha T & Killer Mike),Bandana,album,55,hiphop,0.33,0.603,0,-7.571,0.36,0.601,0.00063,0.307,0.812,168.456,3,C,major,C major
138,Benny The Butcher,18 Wheeler (feat. Pusha T),The Plugs I Met,album,53,hiphop,0.512,0.733,2,-7.8,0.244,0.00203,0.000253,0.349,0.739,75.356,4,D,minor,D minor
139,Saba,Beautiful Smile,Beautiful Smile,single,51,hiphop,0.889,0.596,9,-8.23,0.397,0.278,0,0.0798,0.899,97.994,5,A,minor,A minor
140,Blueface,Thotiana,Famous Cryp,album,46,hiphop,0.906,0.382,10,-12.89,0.269,0.18,0,0.113,0.391,104.025,4,A#,minor,A# minor
141,Frank Ocean,In My Room,In My Room,single,79,indie,0.861,0.647,7,-7.425,0.0675,0.594,0.661,0.114,0.67,158.037,4,G,major,G major
142,Clairo,Bags,Immunity,album,73,indie,0.742,0.546,1,-7.694,0.0315,0.172,0.38,0.115,0.868,104.996,4,C#,major,C# major
143,Lana Del Rey,Norman fucking Rockwell,Norman Fucking Rockwell!,album,70,indie,0.218,0.215,5,-12.49,0.0368,0.967,0.0847,0.0948,0.138,76.74,1,F,major,F major
144,Bon Iver,"Hey, Ma","i,i",album,70,indie,0.411,0.285,0,-10.97,0.0306,0.872,0.000354,0.0993,0.213,72.139,4,C,major,C major
145,Solange,Stay Flo,When I Get Home,album,67,indie,0.823,0.558,9,-7.119,0.0278,0.397,2.03E-05,0.0821,0.674,155.974,4,A,major,A major
146,Los Retros,Someone To Spend Time With,Someone To Spend Time With,single,66,indie,0.817,0.471,9,-13.301,0.0335,0.0529,0.224,0.106,0.962,89.551,4,A,major,A major
147,Faye Webster,Kingston,Atlanta Millionaires Club,album,65,indie,0.73,0.344,10,-9.541,0.0394,0.138,0.00128,0.134,0.543,142.129,4,A#,minor,A# minor
148,Sharon Van Etten,Seventeen,Remind Me Tomorrow,album,65,indie,0.538,0.77,5,-7.376,0.0487,0.0158,0.214,0.0686,0.238,127.103,4,F,major,F major
149,Vampire Weekend,Harmony Hall,Father of the Bride,album,65,indie,0.653,0.76,11,-6.086,0.0479,0.475,0.000129,0.0917,0.6,98.008,4,B,major,B major
150,ROSALÍA,A Palé,A Palé,single,65,indie,0.63,0.409,0,-8.83,0.0903,0.119,0.629,0.121,0.332,122.848,4,C,minor,C minor
151,Tierra Whack,Only Child,Only Child,single,64,indie,0.826,0.365,1,-7.024,0.0412,0.849,3.80E-06,0.186,0.802,85.244,4,C#,major,C# major
152,Monsune,OUTTA MY MIND,OUTTA MY MIND,single,64,indie,0.689,0.463,2,-8.121,0.0365,0.066,0.000152,0.145,0.864,86.998,4,D,minor,D minor
