word,n
ago,4
aneun,4
ango,4
annyeong,4
apjilleo,4
army,4
ask,4
bag,4
bameul,4
barago,4
barbie,4
bay,4
bichweo,4
binnaneun,4
bottles,4
boyeojugo,4
brighter,4
bts,4
bu,4
bulleo,4
bus,4
camera,4
caught,4
closer,4
club,4
comma,4
connected,4
crown,4
dahgireul,4
daleun,4
dareun,4
dear,4
doel,4
dol,4
dollars,4
don,4
doridori,4
drama,4
draw,4
dul,4
dwel,4
eatin,4
eobwa,4
et,4
eum,4
everyone,4
fade,4
fang,4
feelings,4
firin,4
fix,4
flower,4
flying,4
focus,4
food,4
fool,4
freedom,4
future,4
gaman,4
gamjeonge,4
geudaero,4
geulae,4
geumbang,4
geurae,4
geurineun,4
geuryeo,4
geuttaega,4
glad,4
gold,4
grammy,4
grippin,4
growl,4
gwaenchanh,4
hangsang,4
happier,4
harmony,4
heartbeating,4
heaven,4
heavy,4
help,4
heulleo,4
honest,4
house,4
hui,4
ijen,4
illest,4
imyeon,4
involved,4
irae,4
isn't,4
iyu,4
jaem,4
jaemjaem,4
jealous,4
jeonyuri,4
jilleo,4
jjalb,4
keepin,4
keojyeoganeun,4
kids,4
known,4
lalalla,4
